num_a,num_b,num_c,observed_count,expected_count,lift,p_raw,p_bonf,sig_bonf,p_holm,sig_holm,p_fdr,sig_fdr,shrunk_rate,shrunk_lift
1,3,17,2,3.1234705228031148,0.6403133903133903,0.7762736999601787,1.0,False,1.0,False,1.0,False,0.0014520183667317958,0.6526822558459422
1,3,18,0,3.1234705228031148,0.0,0.08379148704798318,1.0,False,1.0,False,0.9857592345811885,False,7.650254829988387e-05,0.0343878954607978
1,3,19,6,3.1234705228031148,1.9209401709401712,0.14049792107858372,1.0,False,1.0,False,0.9857592345811885,False,0.00420305000359562,1.8892709766162312
1,3,20,5,3.1234705228031148,1.6007834757834758,0.24957369947482808,1.0,False,1.0,False,0.9857592345811885,False,0.003515292094379664,1.580123796423659
1,3,21,3,3.1234705228031148,0.9604700854700856,1.0,1.0,False,1.0,False,1.0,False,0.002139776275947752,0.9618294360385146
1,3,22,2,3.1234705228031148,0.6403133903133903,0.7762736999601787,1.0,False,1.0,False,1.0,False,0.0014520183667317958,0.6526822558459422
1,3,23,4,3.1234705228031148,1.2806267806267806,0.5615634740660312,1.0,False,1.0,False,0.9957506177226078,False,0.0028275341851637078,1.2709766162310867
1,3,24,2,3.1234705228031148,0.6403133903133903,0.7762736999601787,1.0,False,1.0,False,1.0,False,0.0014520183667317958,0.6526822558459422
1,3,25,5,3.1234705228031148,1.6007834757834758,0.24957369947482808,1.0,False,1.0,False,0.9857592345811885,False,0.003515292094379664,1.580123796423659
1,3,26,4,3.1234705228031148,1.2806267806267806,0.5615634740660312,1.0,False,1.0,False,0.9957506177226078,False,0.0028275341851637078,1.2709766162310867
1,3,27,6,3.1234705228031148,1.9209401709401712,0.14049792107858372,1.0,False,1.0,False,0.9857592345811885,False,0.00420305000359562,1.8892709766162312
1,3,28,1,3.1234705228031148,0.32015669515669515,0.38684745045633295,1.0,False,1.0,False,0.9857592345811885,False,0.0007642604575158399,0.34353507565337005
1,3,29,4,3.1234705228031148,1.2806267806267806,0.5615634740660312,1.0,False,1.0,False,0.9957506177226078,False,0.0028275341851637078,1.2709766162310867
1,3,30,3,3.1234705228031148,0.9604700854700856,1.0,1.0,False,1.0,False,1.0,False,0.002139776275947752,0.9618294360385146
